video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/G_0xkSHS8I0,/@KSLNews,KSL News,SLC homeless community thankful for temporary shelter pods,8.9K,1 day,"In an effort to tackle the ongoing homelessness crisis in the state, Utah's Capitol Hill is set to address potential solutions. Part of ...",2024-01-23 02:20:31.231448
/watch?v=ZPf6nUsHgFQ&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CBSNews,CBS News,Florida shelter empowers homeless through job training,5.8K,1 year,A homeless shelter in Florida is doing more than just providing a warm meal and a place to stay. It's also offering job training.,2024-01-23 02:20:31.232966
/watch?v=p-E8d9sGpI0&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@homelesslink3530,Homeless Link,Why work in the homelessness and supported housing sectors?,3.9K,2 years,"Become a key worker, change society, end homelessness. We spoke to Homeless Link members from across England to find out ...",2024-01-23 02:20:31.234300
/watch?v=AjsVXrvClOE&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@WTHR13News,WTHR,Homeless shelters in central Indiana prepare for influx of people,836,8 days,"The shelters are always in need of donations like gloves, hats and scarves. You can find a full list of available warming centers in ...",2024-01-23 02:20:31.235703
/watch?v=cJD-JJ1EK-8&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@thecityoftoronto,thecityoftoronto,"Shelter, Support and Housing Administration Division",1.9K,3 years,This video provides a snapshot of some of the vital work SSHA undertakes to improve the lives of individuals and families at risk of ...,2024-01-23 02:20:31.237047
/watch?v=aKbE5A7mfEw&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@News6WKMG,WKMG News 6 ClickOrlando,More Central Florida families seeking homeless assistance for the first time,2.7K,1 year,One of the largest providers of homeless services in Central Florida is warning of “potential chaos” as it sees an increasing ...,2024-01-23 02:20:31.238487
/watch?v=6Ue4vsGaYTk&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CBSNewYork,CBS New York,Men living in NYC homeless shelter criticize migrant relief center,109K,1 year,Mayor Eric Adams is taking heat over his new shelter for migrants on Randall's Island. His critics are the men who live in a ...,2024-01-23 02:20:31.239888
/watch?v=dRYkm4Je23Y&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@KVUETV,KVUE,What keeps some homeless people from accepting shelter? | KVUE,3.7K,4 years,Service providers are trying to get homeless people into shelters. But Molly Oak learned getting people to accept shelter isn't ...,2024-01-23 02:20:31.247982
/watch?v=cpmSuVHR6nk&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@7news,7NEWS Australia,Beddown charity creating homeless shelters from unused spaces  | 7NEWS,10K,8 months,It was a dream which captured the imagination of a country: turning unused car parks into homeless shelters. Beddown has finally ...,2024-01-23 02:20:31.249707
/watch?v=LbBtQxkrtOo&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@VOANews,Voice of America,Volunteers Bring Holiday Meals to Homeless Shelters,1.6K,3 years,An estimated 17 out of every 10000 Americans experience homelessness on any given night.,2024-01-23 02:20:31.251001
